"Id","RouteId","Description","ExactPoint","Time","IsActive","UserId"
1474,22,"ERMONES BRIDGE","BRIDGE","14:40",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1475,22,"GLYFADA BEACH H","BUS STOP","14:30",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1476,22,"GLYFADA BUS STOP","BUS STOP","14:30",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1477,22,"GRAND HOTEL GLYFADA","MAIN GATE","14:30",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1478,22,"PELEKAS BEACH","RECEPTION","14:50",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1479,22,"PHILOXENIA","BRIDGE","14:40",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1480,22,"PINK PALACE","PINK PALACE","15:15",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1481,22,"ROSA BELLA","ERMONES BRIDGE","14:40",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1483,20,"ACHILLEUS","M.ROAD","15:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1484,20,"AEOLOS BEACH","M.ROAD","15:40",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1485,20,"AG.GEORGIOS - CROSSROAD","CROSSROAD","16:20",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1486,20,"ALEXANDROS","M.ROAD","15:40",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1487,20,"ALKIONIS","M.ROAD","15:55",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1488,20,"ANANIAS","BLUE SEA-MAIN ROAD","16:20",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1489,20,"APOLLO PALACE","M.GATE","15:55",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1490,20,"AQUARIUS","BUS STOP","15:55",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1491,20,"ATTIKA BEACH","RECEPTION","16:30",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1492,20,"BENITSES KIOSK","M.ROAD","15:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1493,20,"BLUE DIAMOND","M.ROAD","16:20",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1494,20,"BLUE SEA HTL","M.ROAD","16:20",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1495,20,"BUKARI","PORT","15:40",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1496,20,"CHURCH - ST.GEORGE'S","M. ROAD","16:15",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1497,20,"COOP SUPERMARKET","MAIN ROAD","15:55",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1498,20,"CORFU MARIS","MAIN ROAD","15:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1499,20,"CORFU SENSES=MARE MONTE","M.ROAD","15:50",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1500,20,"DELFINIA","BUS STOP","15:55",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1501,20,"EKO MORAITIKA","M.ROAD","15:55",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1502,20,"GEMINI","HOTEL","15:55",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1503,20,"GOLDEN SUNSET BUKARI","M.ROAD","15:40",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1504,20,"GRANDE MARE = COSTA BLUE","M.ROAD","15:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1505,20,"KAFESAS","RESTAURANT","16:20",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1506,20,"KAIZER BRIDGE","M.ROAD","15:40",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1507,20,"KARINA HOTEL","M.ROAD","15:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1508,20,"LORD TRAVEL","M.ROAD","16:20",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1509,20,"MARBELLA","M.ROAD","15:50",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1510,20,"MESSONGHI BEACH","TAXI STATION","15:55",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1511,20,"MUSES SEA VEIW","MAIN ROAD","15:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1512,20,"OASIS HOTEL","BUS STOP","15:40",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1513,20,"OSCAR RENT A CAR","M.ROAD","15:55",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1514,20,"PANORAMA REST.AG.GEORGIOS","M.ROAD","16:20",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1515,20,"PANTHEON","MAIN ROAD","15:55",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1516,20,"PERAMA HOTEL","OASIS","15:40",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
